code,name,label
3E,"Electra Airways","Electra Airways (3E)"
MA,"Elitavia Malta","Elitavia Malta (MA)"
EK,"Emirates","Emirates (EK)"
E4,"Enter Air","Enter Air (E4)"
E7,"Estafeta","Estafeta (E7)"
ES,"Estelar","Estelar (ES)"
RN,"Eswatini Air","Eswatini Air (RN)"
2F,"ETF Airways","ETF Airways (2F)"
ET,"Ethiopian Airlines","Ethiopian Airlines (ET)"
EY,"Etihad Airways","Etihad Airways (EY)"
5B,"Euro-Asia Air","Euro-Asia Air (5B)"
YU,"EuroAtlantic Airways","EuroAtlantic Airways (YU)"
H6,"European Air Charter","European Air Charter (H6)"
QY,"European Air Transport","European Air Transport (QY)"
EW,"Eurowings","Eurowings (EW)"
BR,"EVA Air","EVA Air (BR)"
5V,"Everts Air Alaska","Everts Air Alaska (5V)"
ZD,"EWA Air","EWA Air (ZD)"
7A,"Express Air Cargo","Express Air Cargo (7A)"
MG,"Eznis Airways","Eznis Airways (MG)"
7F,"Fanjet Express","Fanjet Express (7F)"
FN,"Fastjet","Fastjet (FN)"
FX,"FedEx","FedEx (FX)"
FJ,"Fiji Airways","Fiji Airways (FJ)"
AY,"Finnair","Finnair (AY)"
FY,"Firefly","Firefly (FY)"
8D,"FitsAir","FitsAir (8D)"
F8,"Flair Airlines","Flair Airlines (F8)"
W2,"Flexflight","Flexflight (W2)"
YS,"Flightlink","Flightlink (YS)"
8W,"Fly AllWays","Fly AllWays (8W)"
EQ,"Fly Angola","Fly Angola (EQ)"
IF,"Fly Baghdad","Fly Baghdad (IF)"
9P,"Fly Jinnah","Fly Jinnah (9P)"
2U,"Fly Khiva","Fly Khiva (2U)"
YI,"Fly OYA","Fly OYA (YI)"
F6,"Fly2Sky","Fly2Sky (F6)"
F4,"Fly4 Airlines","Fly4 Airlines (F4)"
IC,"Fly91","Fly91 (IC)"
F3,"flyadeal","flyadeal (F3)"
FS,"FlyArystan","FlyArystan (FS)"
S9,"FlyBig","FlyBig (S9)"
FO,"Flybondi","Flybondi (FO)"
FZ,"flydubai","flydubai (FZ)"
SX,"FLYGTA Airlines","FLYGTA Airlines (SX)"
FL,"Flylili","Flylili (FL)"
VP,"FlyMe","FlyMe (VP)"
5M,"FlyMontserrat","FlyMontserrat (5M)"
WV,"FlyNamibia","FlyNamibia (WV)"
XY,"flynas","flynas (XY)"
5F,"FlyOne","FlyOne (5F)"
FP,"FlyPelican","FlyPelican (FP)"
FA,"FlySafair","FlySafair (FA)"
4D,"Flyyo","Flyyo (4D)"
FH,"Freebird Airlines","Freebird Airlines (FH)"
4F,"Freedom Airline Express","Freedom Airline Express (4F)"
BF,"French bee","French bee (BF)"
F9,"Frontier Airlines","Frontier Airlines (F9)"
C0,"FTL Airlines","FTL Airlines (C0)"
JH,"Fuji Dream Airlines","Fuji Dream Airlines (JH)"
FU,"Fuzhou Airlines","Fuzhou Airlines (FU)"
8S,"Galistair Infinite Aviation","Galistair Infinite Aviation (8S)"
GA,"Garuda Indonesia","Garuda Indonesia (GA)"
4G,"Gazpromavia","Gazpromavia (4G)"
GC,"Gelix Airlines","Gelix Airlines (GC)"
9D,"Genghis Khan Airlines","Genghis Khan Airlines (9D)"
GH,"Georgian Airlines","Georgian Airlines (GH)"
A9,"Georgian Airways","Georgian Airways (A9)"
ZQ,"German Airways","German Airways (ZQ)"
NJ,"Ghadames Air Transport","Ghadames Air Transport (NJ)"
5S,"Global Air Transport","Global Air Transport (5S)"
IG,"Global Aviation","Global Aviation (IG)"
G6,"GlobalX","GlobalX (G6)"
G3,"GOL Linhas Aereas","GOL Linhas Aereas (G3)"
YR,"Grand Canyon Airlines","Grand Canyon Airlines (YR)"
CN,"Grand China Air","Grand China Air (CN)"
GV,"Grant Aviation","Grant Aviation (GV)"
