code,name,label
2R,"Sunlight Air","Sunlight Air (2R)"
S6,"Sunrise Airways","Sunrise Airways (S6)"
WG,"Sunwing Airlines","Sunwing Airlines (WG)"
Y8,"Suparna Airlines","Suparna Airlines (Y8)"
IU,"Super Air Jet","Super Air Jet (IU)"
P7,"Supernova Airlines","Supernova Airlines (P7)"
PY,"Surinam Airways","Surinam Airways (PY)"
WT,"Swiftair","Swiftair (WT)"
LX,"Swiss","Swiss (LX)"
7E,"Sylt Air","Sylt Air (7E)"
RB,"Syrian Air","Syrian Air (RB)"
TW,"T'way Air","T'way Air (TW)"
DT,"TAAG Angola Airlines","TAAG Angola Airlines (DT)"
5U,"TagAirlines","TagAirlines (5U)"
TI,"Tailwind Airlines","Tailwind Airlines (TI)"
Z3,"Tanana Air Service","Tanana Air Service (Z3)"
TP,"TAP Air Portugal","TAP Air Portugal (TP)"
YQ,"TAR Aerolineas","TAR Aerolineas (YQ)"
3T,"Tarco Air","Tarco Air (3T)"
RO,"Tarom","Tarom (RO)"
SF,"Tassili Airlines","Tassili Airlines (SF)"
TD,"Tbilisi Airways","Tbilisi Airways (TD)"
T8,"Terra Avia","Terra Avia (T8)"
K9,"Tez Jet Airlines","Tez Jet Airlines (K9)"
TG,"Thai Airways","Thai Airways (TG)"
SL,"Thai Lion Air","Thai Lion Air (SL)"
GS,"Tianjin Airlines","Tianjin Airlines (GS)"
TV,"Tibet Airlines","Tibet Airlines (TV)"
IT,"Tigerair Taiwan","Tigerair Taiwan (IT)"
ZT,"Titan Airways","Titan Airways (ZT)"
BV,"Toki Air","Toki Air (BV)"
0T,"Total Linhas Aereas","Total Linhas Aereas (0T)"
C3,"Trade Air","Trade Air (C3)"
TJ,"Tradewind Aviation","Tradewind Aviation (TJ)"
R2,"Transair","Transair (R2)"
R9,"Transair","Transair (R9)"
HV,"Transavia","Transavia (HV)"
8B,"TransNusa","TransNusa (8B)"
IL,"Trigana Air","Trigana Air (IL)"
9N,"Tropic Air","Tropic Air (9N)"
X3,"TUI fly","TUI fly (X3)"
T2,"TUM AeroCarga","TUM AeroCarga (T2)"
TU,"Tunisair","Tunisair (TU)"
TK,"Turkish Airlines","Turkish Airlines (TK)"
T5,"Turkmenistan Airlines","Turkmenistan Airlines (T5)"
T9,"Turpial Airlines","Turpial Airlines (T9)"
U8,"Tus Air","Tus Air (U8)"
T7,"Twin Jet","Twin Jet (T7)"
UR,"Uganda Airlines","Uganda Airlines (UR)"
PS,"Ukraine International Airlines","Ukraine International Airlines (PS)"
GO,"ULS Airlines Cargo","ULS Airlines Cargo (GO)"
UE,"Ultimate Jet","Ultimate Jet (UE)"
UY,"UmzaXpress","UmzaXpress (UY)"
B7,"UNI Air","UNI Air (B7)"
UA,"United Airlines","United Airlines (UA)"
UN,"United Nigeria Airlines","United Nigeria Airlines (UN)"
VO,"Universal Air","Universal Air (VO)"
U7,"Uniworld Air Cargo","Uniworld Air Cargo (U7)"
5X,"UPS","UPS (5X)"
UD,"UR Airlines","UR Airlines (UD)"
U6,"Ural Airlines","Ural Airlines (U6)"
UQ,"Urumqi Air","Urumqi Air (UQ)"
BS,"US-Bangla Airlines","US-Bangla Airlines (BS)"
XG,"USC","USC (XG)"
UT,"Utair","Utair (UT)"
RT,"UVT Aero","UVT Aero (RT)"
HY,"Uzbekistan Airways","Uzbekistan Airways (HY)"
VK,"ValueJet","ValueJet (VK)"
V9,"Van Air Europe","Van Air Europe (V9)"
0V,"Vasco","Vasco (0V)"
WW,"Venezolana","Venezolana (WW)"
V4,"Vieques Air Link","Vieques Air Link (V4)"
VJ,"VietJet Air","VietJet Air (VJ)"
VN,"Vietnam Airlines","Vietnam Airlines (VN)"
VU,"Vietravel Airlines","Vietravel Airlines (VU)"
VS,"Virgin Atlantic","Virgin Atlantic (VS)"
VA,"Virgin Australia","Virgin Australia (VA)"
VB,"Viva","Viva (VB)"
2Z,"VoePass","VoePass (2Z)"
Y4,"Volaris","Volaris (Y4)"
VI,"Volga-Dnepr Airlines","Volga-Dnepr Airlines (VI)"
V7,"Volotea","Volotea (V7)"
VC,"Voyageur Airways","Voyageur Airways (VC)"
VY,"Vueling","Vueling (VY)"
EB,"Wamos Air","Wamos Air (EB)"
WP,"Wasaya Airways","Wasaya Airways (WP)"
PN,"West Air","West Air (PN)"
KD,"Western Global Airlines","Western Global Airlines (KD)"
WS,"WestJet","WestJet (WS)"
WI,"White","White (WI)"
WF,"Wideroe","Wideroe (WF)"
WM,"Winair","Winair (WM)"
7W,"Windrose Airlines","Windrose Airlines (7W)"
P5,"Wingo","Wingo (P5)"
IW,"Wings Air","Wings Air (IW)"
W6,"Wizz Air","Wizz Air (W6)"
WL,"World Atlantic Airlines","World Atlantic Airlines (WL)"
3G,"World Cargo Airlines","World Cargo Airlines (3G)"
2W,"World2Fly","World2Fly (2W)"
4U,"XE Jet","XE Jet (4U)"
MF,"Xiamen Air","Xiamen Air (MF)"
R3,"Yakutia Airlines","Yakutia Airlines (R3)"
YC,"Yamal Airlines","Yamal Airlines (YC)"
YE,"YanAir","YanAir (YE)"
IY,"Yemenia","Yemenia (IY)"
YT,"Yeti Airlines","Yeti Airlines (YT)"
YG,"YTO Cargo Airlines","YTO Cargo Airlines (YG)"
7Z,"Z Air","Z Air (7Z)"
ZO,"Zagros Airlines","Zagros Airlines (ZO)"
ZN,"Zambia Airways","Zambia Airways (ZN)"
ZK,"Zetavia","Zetavia (ZK)"
XM,"Zimex Aviation","Zimex Aviation (XM)"
ZG,"Zipair","Zipair (ZG)"
